,mu,variance,a,b
NPHP4,86.96482040381001,444.68504149042707,17.007273198394145,0.19556497810750428
KCNAB2,140.606085758715,1053.4358413661703,18.76722869685912,0.1334738009069134
CHD5,0.9629642293034542,0.00010000000000000002,9273.001069179953,9629.64229303454
RPL22,42.7328551574577,84.5945256406563,21.586466690116804,0.5051491787894157
RNF207,12.270138823769,14.278633798196198,10.544167522076439,0.859335633729823
ICMT,30.435341806134904,43.64191173838541,21.225239545166936,0.6973879143650205
HES3,0.0020538316150542995,0.02748842093463659,0.00015345458777086057,0.07471624579447499
GPR153,11.4277824463909,6.7444456585480905,19.36322394065425,1.6943990692410762
ACOT7,26.3626410248228,49.182192877111596,14.130903913540298,0.5360200406414054
HES2,2.32753107449338,6.670174282589631,0.8121828116054944,0.3489460658574784
ESPN,6.55861686808724,5.980137953741291,7.1930539989377955,1.0967333728453608
TNFRSF25,2.75656875763228,1.0403217086754497,7.30415529368227,2.6497272282647804
PLEKHG5,6.16485416143341,5.37393020559718,7.072184672617918,1.1471779359941163
NOL9,40.16564749810681,95.1550032323002,16.954223993915523,0.4221075732618192
TAS1R1,40.1801369966156,94.52265248278532,17.079963021148018,0.4250847383269667
ZBTB48,42.68705977478209,112.89990115565499,16.13982876480622,0.3780965203497343
KLHL21,210.99723741054603,1918.4626693747005,23.205994521328385,0.10998245667157966
PHF13,140.367740632792,744.600626162414,26.461302768307206,0.18851413187258678
THAP3,50.91894187327141,126.249660960746,20.536598845201933,0.4033194345694386
DNAJC11,41.1352408900031,72.82465797172999,23.23537233412681,0.5648531971955364
CAMTA1,100.247603792252,443.758705841938,22.646501203895,0.22590566105526522
VAMP3,72.37301635953871,228.22806677140306,22.950084847471352,0.3171083091722838
PER3,23.273523971216598,38.58403669163079,14.038368311947092,0.6031904893005875
UTS2,2.3816961850131606,12.022393666691704,0.47182590047953266,0.19810499065686898
TNFRSF9,9.905685711404411,8.245270583263052,11.900471721607182,1.2013778821900412
PARK7,75.87175103837352,257.81968840750005,22.327707558665537,0.2942822230025098
ERRFI1,32.7293963021716,85.3919267389533,12.544668134487095,0.38328443392812456
SLC45A1,6.297798976209939,6.615617886266519,5.995248308867201,0.9519593006246104
RERE,219.590420303038,1861.45563719404,25.904432920868146,0.11796704466943343
ENO1,104.24594442050798,474.03368671119694,22.92498873554623,0.21991252382031531
CA6,0.0009999999999999998,1.1324151576949697,8.830683634043712e-07,0.0008830683634043712
SLC2A7,0.0049477453871858,0.0064880225977368,0.003773134887809688,0.7625968178519769
SLC2A5,0.47936661810685394,0.9203379143795449,0.24968259045387606,0.5208593611293563
GPR157,34.8021235496058,72.69968164818,16.660152783383587,0.47871081083994066
H6PD,38.2339134839867,98.82327540834818,14.792387059228053,0.38689178562438997
SPSB1,94.37265022202942,567.3126309943951,15.69892264573517,0.1663503420620328
SLC25A33,38.324265591869,68.6084886554719,21.407691117226985,0.5585936426076984
TMEM201,21.2818404904116,45.5323317320845,9.947145631028016,0.4674006289780078
PIK3CD,165.579500480243,1613.66832203522,16.990214534736587,0.10261061596066275
CLSTN1,59.2475197199555,310.31343990357607,11.312009541247278,0.19092798474460382
CTNNBIP1,31.213679677893797,66.48190767643729,14.655021690652722,0.4695063780330816
