"Gene","Mean","Var","Max","cv","n"
"SNTG2",12.2047866776922,429.85816229744,132.258759037249,2.8857904492573,257
"SNUPN",37.1806308316309,90.2680575800758,112.348540798703,0.0652981066974717,270
"SNURF",32.0332830963384,79.7588335024176,64.197460087567,0.0777277130711214,270
"SNX2",85.5707720793362,192.657315989411,126.156725941389,0.0263108333953353,269
"SNX20",29.1798201759647,355.715684314386,85.7943724438397,0.4177705215183,234
"SNX22",13.5597550833282,97.3996452617693,63.3716481197186,0.529728921192187,266
"SNX30",58.9399446964594,116.00541031083,105.419701290281,0.033393258276444,269
"SNX31",4.09043579026595,60.3291841550485,52.1110066658698,3.60568923175723,169
"SNX32",8.31555734120522,82.6509768294649,63.0435435194765,1.19526792521499,248
"SNX7",17.4389911073547,257.709827165348,91.5491186671719,0.847399624545923,267
"SOBP",33.081763811641,586.462771320274,157.545159859235,0.535874553889031,270
"SOCS6",56.6162201464991,810.600802802384,272.47357056068,0.25288629104665,270
"SOD2",169.726207619823,1073.53942834194,231.412148291575,0.0372666354265542,270
"SOD3",0.864589093653457,3.81389305593601,19.6000658800862,5.10210045684104,112
"SOGA1",33.2688541588554,601.450331629678,157.058797534854,0.543405565684588,269
"SOGA2",82.3572113617282,813.091561735192,246.643748955661,0.119877088976811,270
"SOGA3",17.4141444853028,573.312319308064,108.694139667966,1.89054485992451,258
"SOHLH1",0.590371723782919,5.27187263785054,24.334086987639,15.1256418444713,77
"SOLH",53.0586523869653,226.762123640745,126.082371644049,0.0805486164014475,270
"SORBS2",11.4514508428353,266.127515807411,123.333835134455,2.02940512933697,224
"SORBS3",32.3666216487578,1186.38099655328,229.801290368507,1.13247712720678,266
"SORCS1",2.82348858688057,96.45658828743,91.9367128511716,12.0992882547615,128
"SORCS2",6.85157382786743,218.188441341046,92.0212163791287,4.64783879211718,191
"SORCS3",4.57782929058649,187.413685328029,77.0640630260709,8.94297699532518,113
"SORL1",107.357702245366,922.271472724413,197.85108117186,0.0800188599963836,270
"SOSTDC1",0.806197028906888,5.79869683790768,25.7009382659256,8.92170825273078,122
"SOWAHA",6.10915935445288,69.4865788427086,46.3700856586447,1.86182142013546,215
"SOWAHB",14.6277412673603,400.423785174576,125.7787549754,1.87139440465987,259
"SOWAHC",35.5086778186547,560.535952024277,182.423822112765,0.444564182808256,270
"SOX1",14.3190677686984,1437.83531747526,312.865607712424,7.01260953629526,147
"SOX10",0.579869369567903,15.5433315008276,63.2636643055647,46.2257293606954,79
"SOX11",13.5395587061185,822.046410026214,146.241060316319,4.48422419648738,157
"SOX13",31.5263363555361,1021.01611649387,186.89949014822,1.02727232410882,268
"SOX14",1.92092836929866,18.7514710465086,30.5197688303748,5.08174656974561,132
"SOX15",1.29509516240604,37.5331179222685,70.1407360454166,22.3774853247137,99
"SOX17",2.1010816304182,11.5766843646232,21.1476744832376,2.62239640566661,171
"SOX18",5.33827212206629,125.768022003847,84.0802808774679,4.41335450447715,190
"SOX2",21.7164975774809,1158.85139586893,172.882047065184,2.45724341866833,242
"SOX21",21.8342165112864,633.941979210594,183.102050101734,1.32976312743824,261
"SOX30",17.1231240189301,70.138461125978,42.2498435945184,0.239216002471526,259
"SOX5",52.144841416258,1248.77528765654,200.228938519864,0.459263143141077,269
"SOX8",9.82534495498029,119.652843702185,84.3591900149971,1.23944543134075,250
"SOX9",17.6024948536726,1180.06094177166,226.194831522341,3.80851775058115,180
"SP140",4.91036071139915,29.2553705245079,27.5687367772452,1.21332964967845,187
"SP140L",15.893191667823,75.7470442723135,65.0513413418028,0.299877201354543,251
"SP4",52.0539989037963,112.203517046108,97.2784804496401,0.0414093366079415,269
"SP5",24.352934775891,440.674922279374,134.214067495402,0.743046042399677,266
"SP6",6.69022076362111,157.786136124358,56.3212984045117,3.52523394700846,158
"SP7",10.24788041722,42.3271757208549,40.6180911041277,0.403042824071737,260
