0,1,2,3,4,5,6,7,8
0.9485485,3.2694266,0.0009304236,15.760741,0.00012834708,0.06383479,0.019696597,1.4297631e-05,1.3160659
1.568557,1.0425185,0.8304898,0.7337581,0.11017533,0.054768126,0.1133662,0.3845505,0.2929613
5.8072557,0.62897974,0.15738182,9.144798,0.17814712,0.00058440847,1e-16,1.4987432e-06,4.2382485e-16
2.297219,0.77466345,1e-16,15.492885,1e-16,1e-16,1e-16,1e-16,1e-16
6.4923778,4.677358,0.13233504,1.7802924,2.6966012,3.0936852,4.146844,0.695988,1.4074302
8.610851,0.5108642,0.37990612,11.013198,0.22923073,0.18373565,1e-16,0.7222857,0.28889468
0.9935932,0.070057,0.0014241248,6.2295833,0.10095621,0.105606675,0.0014947264,0.18171522,0.92021954
2.204861,1.7167743,2.0833568e-09,1e-16,2.2360299,0.22522414,1.0720772,0.277516,1.1796241
0.39506847,1.2654727,11.152382,1.2400357,8.4386075e-11,0.045070253,5.543701e-13,2.2412126,0.15627965
2.7458355,0.74198127,1e-16,5.689814,1e-16,1.5966101e-05,0.0021904404,1e-16,0.5342424
0.6295866,4.0181084,1.5563374e-16,2.8087206,1e-16,0.00014711234,1e-16,1e-16,1e-16
3.3269203,1e-16,0.03802376,5.894334,1e-16,4.2347227e-16,1e-16,1e-16,1e-16
6.074019,0.83010036,3.4170566,1.1995038,2.2101305,0.0018608813,1e-16,4.8563333,8.392135
0.5275741,3.4690502,6.202748e-16,1.8305122,0.04814327,0.16405338,3.5832395e-09,0.2889131,0.22778787
0.2533705,1.0685912,3.5001695,1.1216649,0.17110167,0.41754737,0.55992717,0.76967025,1.5623112
1.4074588,0.5389175,2.9560668,0.3386916,2.3016534e-15,0.16272447,1e-16,0.8978404,0.4137858
1.7586012,4.6545234,0.1550125,1.6794411,0.16328958,0.001968152,0.18805914,0.22368194,0.31364754
1.4601432,0.06918052,0.011500553,9.488232,7.48188e-09,0.11496311,1e-16,0.5889126,1e-16
7.5054374,2.7189896,1.2611654,1.295678e-16,5.4421773,8.546872e-14,6.440723,2.310207,0.44472808
2.739424,4.427909,0.43555993,4.7509437,0.33475515,0.5354313,0.035158776,0.93232197,0.4366119
0.33556002,3.9131086,0.8073841,2.6502907,0.21873267,2.0770485e-06,0.7836405,0.8284527,0.17917389
1.3179321,3.4477475,0.18347178,2.767794,0.56069064,1e-16,0.026899531,0.24521093,0.17399055
3.5856588,1e-16,0.081569545,7.0335875,1.1843728e-05,0.09328971,1e-16,0.38768804,0.8876785
1.2999116,1.5108485,0.29722717,0.74879324,1.6379901,0.63865966,0.30063206,0.83600163,0.60241425
2.0566943,1.1963477,1e-16,3.153295e-14,9.902936,1.9008852e-11,28.386152,0.517279,0.0037719037
1e-16,0.40789637,15.968838,1.9602686,6.928319e-12,0.22034873,1e-16,1.6217488e-06,1e-16
