0,1,2,3,4,5
1.4136821,6.4468803,0.24183056,1.2870893,0.45819774,5.124596
8.240598,9.554587,0.6313718,19.912249,10.475037,11.903347
9.326766,0.057660457,0.12256948,2.6788945,7.841716,0.5895515
1.0912346,4.119733e-05,1e-16,1.1350019,0.9908913,0.3251709
0.26484197,28.297764,0.06269641,3.7608356,0.1912139,12.948744
0.15061757,0.4302637,0.54178023,5.064219,7.110953,1.3478576
6.85165e-06,1e-16,1e-16,0.29619166,7.813932,1e-16
1.7169535e-09,2.136767e-05,0.67206514,16.262728,1.7998761e-06,55.7429
3.445949,0.028499408,0.05962123,1.4486321,1.2614527,0.4569472
2.7401984,0.04152723,0.069528274,0.037727628,10.700257,0.7534191
10.576241,1e-16,9.3094193e-10,1e-16,4.0645666,1e-16
0.5327419,8.377374,1.7657665,1.8980412,0.7983379,9.778728
1.904208,3.8299266e-05,0.21337903,1.1608375,0.6304471,0.49113244
4.810438,1e-16,1e-16,1.8139639e-11,12.342455,1e-16
1.274283,0.071105585,3.1587262,0.16142695,1.2098626,0.676459
0.6798207,2.6524722e-14,0.11415458,2.8451893,2.6801045,6.9211166e-07
3.0527039,8.229447,0.117708564,2.395997,1.9204773,9.558754
1.8639492e-14,1e-16,12.212245,3.7785387e-05,1.6985718,1.4618042e-06
5.391761,1e-16,0.14361209,1e-16,5.196436,1.34167435e-14
0.70504326,0.7554192,28.924171,0.8622862,2.9185777,0.61958617
2.2474937,0.88007325,0.14091557,1.9385153,2.1360378,6.316828
5.305935,0.07726304,0.017505134,2.8404756,6.6210923,0.8307488
6.6470056,0.08179423,1e-16,1.6668407,2.4439256,1.2648519e-06
7.0115004,1.4725116e-13,1.0072238,2.3304454e-09,13.85032,0.54385483
6.929315,0.011359098,9.338973,2.288889,3.0173805,0.5480648
3.5059888,3.4421701,0.026804173,5.4833975,6.915154,3.1031404
4.3180137,1e-16,0.24400967,1e-16,4.2665625,1e-16
3.9590533,2.0340905,3.5066777e-10,2.4002318,2.4455183,1.2678492
4.617715,5.757889e-06,0.21216072,0.23284823,8.526404,0.36628452
1.7494911,0.0062458008,0.010181689,1e-16,6.2204933,1e-16
4.777881,0.10856461,1e-16,9.155962e-05,12.358944,0.37587407
0.87839,0.5596306,0.42746317,1.4274455,0.6555032,1.5828234
1.6387087,0.090148985,9.71542,2.7605484,0.56326544,0.43936506
0.20981744,11.36977,0.8509588,2.9256861,0.52156395,14.222813
1.7106085,6.8248014,0.04537127,2.2801492,2.884759,7.975385
4.2397604,3.153808e-11,6.559593,4.2635555,1.2691016,2.4108375e-14
0.50702393,6.6055245,1e-16,3.0981774,0.99748296,0.91254365
3.0927494,0.459291,1.420347,1.8921468,1.147728,0.31283078
15.402955,0.060807984,16.313097,2.2988017,9.66679,1.0639302
2.1734927,0.0021610053,0.10361228,0.4707938,0.6214189,0.46624666
4.032244,1e-16,0.78563476,4.653972e-12,8.085126,0.33934835
1.5310457,1.4449387e-08,0.10195505,1.0435146,1.090687,0.3615775
2.2311225,0.033400342,1e-16,0.8716428,1.5968299,0.27691793
2.3116546,0.11018069,1e-16,0.52994084,12.781507,2.791415e-06
1.1433405,0.29095906,0.17631762,0.37105256,1.3825948,0.60292834
7.775832,0.7604458,0.19159971,7.465345,5.259764,4.804811
2.6900525,1.976442,1.066556,1.8920043,1.7014885,1.186156
0.8510296,1e-16,0.45702773,0.38021716,1.0732455,0.12085084
2.9090078,0.07928638,1.1864669,5.124858,5.6427813,2.5525975
0.8251578,21.830103,0.16990408,0.8284189,0.07253234,23.602633
0.28987706,22.495968,0.93239826,2.4416993,1.0046229,6.814183
4.664969,2.299596e-10,3.5971696,1.3508837,2.0745935,0.4087892
1.4059923,4.0394077e-10,0.23373693,0.33791548,2.5725605,0.104458146
0.0002251315,0.042960074,26.249699,1.3567958,3.2471552,0.43818313
11.572634,0.96766746,14.98689,7.8539047,0.97948897,2.1909378
1.7074072,3.137586e-05,1e-16,0.69192976,0.47533858,0.2589503
0.16345744,0.6997952,19.482166,1.3146713,3.050238,1.0013783
1.614783,1e-16,0.018692112,1e-16,4.7390137,1e-16
5.416385,0.0034546063,9.478024e-06,1.8812364,1.3793331,0.45264062
3.2076364,1e-16,0.57128906,0.1930637,12.601548,0.23798166
12.497056,0.50719047,0.21504205,2.2259607,1.0145553,1.2082502
2.379089,22.133327,1e-16,2.3890712,0.93514484,23.589016
1.3660773,9.532633,3.9932021e-07,1.0596148,0.7429768,9.782916
1.5061212,10.371326,1e-16,3.9820867,3.006389,7.423405
2.7280667,1e-16,0.39448535,2.4827738,2.475265,0.8342037
1.0219535,2.1034613,1e-16,1.9461504,0.9693775,0.79600364
1.0512217,5.9702997,1.9100873,4.6123614,4.1146536,4.75012
5.2404847,7.064212,2.0432829e-10,1.536707,2.1288483,5.023
0.1487557,17.262432,1.2475469,3.1705363,0.6881645,3.1713166
8.296892,0.72607535,0.05372517,0.19971575,6.649112e-11,0.6194214
2.0120592,0.069458574,1e-16,0.011495187,4.7706594,7.611412e-12
0.018805534,0.08839835,0.0015431944,0.0017562767,0.008121588,0.009395014
0.81551903,1e-16,0.6455956,0.46612516,2.1668901,0.12385518
0.074032106,0.0044571958,1e-16,0.4513074,7.2196326,0.00857279
4.545847,1e-16,1e-16,1e-16,5.625035,1e-16
0.49865222,1e-16,1e-16,0.3478524,4.712107,8.3957275e-05
3.1932821,0.17886475,0.054077916,2.4256992,2.0923834,0.9958937
2.6390407,1e-16,0.82349,7.0313272e-15,6.915831,0.87573874
1.8919183,0.008481955,2.0467634,0.6161271,0.5264762,0.63538474
3.086672,0.36898577,0.82239705,2.133335,1.1664767,1.3584058
1.6296484,10.779414,1.9248889e-11,1.075209,1.4054142,8.198641
1.1526004,1.7933513,1e-16,2.6093569,0.7137928,2.4394612
1.928383,3.5124916e-08,0.050317634,0.44073486,0.14694288,0.11181283
2.5108778,0.0059204097,1e-16,0.0001824688,9.435014,1e-16
2.7692738,0.09029395,0.18034787,0.5943674,0.7174254,0.30513802
3.3039486,0.08515919,0.11708028,0.7526729,1.1748965,0.8161646
3.5211792,1.19270185e-08,0.0013304977,5.09633,4.671358,3.4508913
7.755815,4.0437546,0.33108333,4.299986,3.558752,3.8106098
1.266585,0.04428438,2.110629,2.4967425,2.637495,1.2431431
2.449884,1.1646363e-12,0.37520698,3.060236,4.6275277,1.091243
0.27957729,30.706707,0.4058356,2.6332953,1.6340336,4.4078293
1.2575455,17.107302,9.959987,7.16043,1.0813322,0.4510664
16.834064,0.17581116,4.2204094,2.029152,4.644856,0.47584847
2.8422723,35.01478,0.577039,1.7013485,1.901122,90.13988
1.9004103,1e-16,1e-16,1e-16,5.011434,1e-16
1.7883356,1e-16,1.0218308e-07,0.818546,1.6893079,0.18986194
1.3215655,0.0034312285,0.2848336,0.5525913,8.952888,0.20695078
5.9808593,0.038990926,0.0781965,1.6881227,1.0139551,0.1157501
7.929193,1e-16,1e-16,3.709674,4.442741,1.0348539
